,tweet_datetime,tweet_favorite_count,tweet_id,tweet_imgs_count,tweet_retweet_count,tweet_text
175,Sun Jan 06 04:07:29 +0000 2019,1,1081764163171446785,,0,"@ACMMM19 is structured around four themes (alphabetical):

Engaging users with multimedia
Multimedia experience
Mul… https://t.co/WBVqNC0j90"
176,Sun Jan 06 04:05:38 +0000 2019,4,1081763698648113152,,2,"ACM Multimedia 2019: First Call for Papers/Call for Contributions
@ACMMM19 is the premier international conference… https://t.co/jYb2y1ri2x"
177,Thu Jan 03 06:14:05 +0000 2019,0,1080708859033989120,,2,RT @ACMMM19: Happy new year! 2019 started with a bang. Thanks to everyone working to help resolve the ACM webserver hack issues. Please wat…
178,Tue Jan 01 17:21:49 +0000 2019,4,1080152125630500864,,2,"You may follow @midasIIITD updates through following:

Website: https://t.co/sPvbKhflKQ
Facebook:… https://t.co/n0lhKok55x"
179,Tue Jan 01 17:17:56 +0000 2019,14,1080151147434913793,,5,"Today, @midasIIITD completed one year at @IIITDelhi. In last one year, we have shown our strong presence in researc… https://t.co/UPFHOJOVne"
180,Tue Jan 01 16:14:24 +0000 2019,0,1080135158295154689,,4,RT @debanjanbhucs: Happy anniversary to @midasIIITD . It surely has been a productive year for us and hope to see some ground breaking work…
181,Thu Dec 27 10:28:31 +0000 2018,2,1078236176740282369,,1,Two Research Assistant (RA) positions are still open. Contact us if you are eligible and interested to work on the… https://t.co/pWwA5lBwUk
182,Thu Dec 27 09:59:06 +0000 2018,5,1078228773554667520,,3,Positions for two Research Assistants (RA) are still open at @midasIIITD. Interested candidates may send their CV a… https://t.co/YyIFinU41I
183,Thu Dec 27 02:33:58 +0000 2018,0,1078116750439243776,,12,"RT @TCoolsIT: I wrote a blogpost on CoreNLP highlighting some of its functionality. If you want a quick dip before diving into the course,…"
184,Wed Dec 26 09:41:04 +0000 2018,14,1077861845652824065,,2,"@RatnRajiv delivered a research talk at the Central Research Laboratories of NEC Corporation, Japan. He discussed s… https://t.co/nQiLhO9zkD"
185,Tue Dec 25 04:15:15 +0000 2018,1,1077417463258566656,,0,@midasIIITD look forward to work together. https://t.co/nrpf32ODo2
186,Tue Dec 25 03:00:21 +0000 2018,2,1077398614966599680,,1,"@the_dhumketu @punnibhai @Hitkul_, FYI. https://t.co/yZb9mdr6IB"
187,Mon Dec 24 07:39:21 +0000 2018,0,1077106437673803776,,11,RT @iiit_hyderabad: KCIS Distinguished Lecture by Andrew Zisserman on Learning from Sight and Sound. Three-time Marr Prize winner Zisserman…
188,Fri Dec 21 03:50:39 +0000 2018,0,1075961723322945536,,32,"RT @StanfordAILab: Our latest blog post is out! 

Check it out for a recording and summary of highlights from the event ""AI and the Future…"
189,Thu Dec 20 18:05:35 +0000 2018,0,1075814483304448000,,8,"RT @medialab: In two new papers, @PratikShahPhD and collaborators present novel #AI and machine learning methods to improve diagnosis at th…"
190,Thu Dec 20 06:14:52 +0000 2018,0,1075635627293519874,,3,RT @RatnRajiv: Wonderful get together with our NII colleagues. Prior to that we had a wonderful talk with Prof Chua Tat-Seng from National…
191,Wed Dec 19 02:16:31 +0000 2018,2,1075213255818104832,,3,@ACMMM19 is the premier international conference in the area of multimedia within the field of computer science. Mu… https://t.co/8lKiTK7FBY
192,Tue Dec 18 14:42:27 +0000 2018,3,1075038589505990656,,2,Feel free to contact us if you have any query on @ACMMM19. We look forward to your submissions to ACM Multimedia co… https://t.co/616EFI1MVE
193,Tue Dec 18 14:27:12 +0000 2018,3,1075034751575048192,,0,@NilayShri @RatnRajiv @ACMMM19 Looking forward to your paper to @ACMMM19.
194,Tue Dec 18 14:15:32 +0000 2018,12,1075031814996090887,,5,"@midasIIITD head, Dr. @RatnRajiv appointed as one of the publicity co-chairs for @ACMMM19. ACM Multimedia is the pr… https://t.co/QIGDlmunLN"
195,Tue Dec 18 12:34:10 +0000 2018,1,1075006305620832256,,0,@ACMMM19 @the_dhumketu fill the volunteer form for reviewer.
196,Tue Dec 18 12:33:42 +0000 2018,0,1075006188100608000,,7,RT @ACMMM19: New in 2019! Volunteer to serve as ACM Multimedia Area Chair or Reviewer. Please provide information on your qualifications in…
197,Tue Dec 18 04:38:35 +0000 2018,0,1074886619369336832,,3,"RT @IIITDelhi: Congratulations! authors Yaman @the_dhumketu, @RatnRajiv, and team @midasIIITD for winning the best poster runner-up at 20th…"
198,Mon Dec 17 16:57:00 +0000 2018,14,1074710061958627328,,4,"Best wishes to @midasIIITD students @_himanshu0113, @Hitkul_, and Shivangi on starting their research internship at… https://t.co/tL35MUcQvR"
199,Mon Dec 17 15:05:44 +0000 2018,0,1074682060990701568,,20,"RT @MIT: Computer model could improve human-machine interaction, provide insight into how children learn language. https://t.co/ToQo6GTMcG…"
200,Mon Dec 17 14:37:00 +0000 2018,0,1074674829691826177,,20,"RT @kdnuggets: Great @Wired interview with Geoff #Hinton on #AI risks, explanation, Graphcore chips, brain vs neural nets, and why there wi…"
201,Mon Dec 17 14:05:47 +0000 2018,0,1074666971877101568,,167,RT @harvardmed: A defective metabolic pathway in aging immune cells may explain why the elderly commonly experience weakened immunity https…
202,Sun Dec 16 15:01:20 +0000 2018,0,1074318566822834176,,10,RT @stanfordnlp: Thread on (neural) reasoning. 👇 https://t.co/kyJs5xztwA
203,Wed Dec 12 03:56:19 +0000 2018,16,1072701656045772800,1.0,3,"Congratulations! Yaman @the_dhumketu, Rohit, Salik, Yifang, Roger, @RatnRajiv for winning the best poster runner-up in 20th IEEE International Symposium on Multimedia (ISM) conference in Taichung, Taiwan.

Great work team @midasIIITD MIDAS and @IIITDelhi. 

#multimedia #ieee #ism https://t.co/zZk21IBAS1"
204,Sat Dec 01 15:24:51 +0000 2018,20,1068888664422240257,1.0,4,"Yaman @the_dhumketu presented our idea of reconstructing speech from silent videos based on lip movements in the ""Brave New Idea"" session of ACM Multimedia 2018 in Seoul, South Korea. 
A proud moment for @midasIIITD since it is one of the only five selected papers.
#Congrats https://t.co/vEN9WFwMJQ"
205,Wed Nov 21 04:08:34 +0000 2018,11,1065094595229491200,1.0,10,"Several Research Assistant and Intern positions are available at @midasIIITD lab. Check https://t.co/tfdisnpfw1 for more details. 

#RA #internship #research #ML #ComputerVision #SpeechProcessing https://t.co/vaTjL3yk9S"
206,Tue Nov 20 09:05:09 +0000 2018,0,1064806843262763010,1.0,10,RT @kdnuggets: Variational Autoencoders Explained – Towards Data Science https://t.co/g2HC2ne5DW https://t.co/CHkAMeYoNz
207,Mon Nov 19 10:23:49 +0000 2018,2,1064464254110060544,,4,"Positions for research assistants and interns are open at the @midasIIITD Lab. Check https://t.co/tfdisn7E7r for more details.  

Check more details of MIDAS at https://t.co/pibbLXnvMh

Last date: 28 Nov 2018

#RA #MIDAS #Opening #Internship"
208,Mon Nov 05 19:33:31 +0000 2018,7,1059529161444900865,1.0,2,"Congratulations @Leomi7 Meghna, @punnibhai Puneet, @RatnRajiv, and Dr. Shree Gopal Sharma for getting your paper, Exploring Classification of Histological Disease Bio-markers from Renal Biopsy Images, accepted to IEEE Winter Conference on Applications of Computer Vision (WACV). https://t.co/ho0IH1xcD0"
209,Fri Nov 02 04:31:26 +0000 2018,4,1058214981714378753,,3,"Application for Ph.D. admission at @IIITDelhi is open now. 
Check more details at https://t.co/qZ21U9ugwg.
Deadline: 16 Nov 
#PhD #Admission #IIITD"
210,Fri Nov 02 04:08:47 +0000 2018,0,1058209278736113664,,39,RT @NirantK: 1/n The Wonderful World of Fine Tuned Language Models. Thread👇
211,Thu Nov 01 03:20:32 +0000 2018,0,1057834747743928320,,2,"RT @the_dhumketu: My 2 full papers and 2 student papers selected in @RealAAAI !!
@midasIIITD Rocks!! 
Thanks @RatnRajiv , @debanjanbhucs 
#…"
212,Wed Oct 31 04:49:32 +0000 2018,0,1057494757558108160,,0,"@the_dhumketu @sundarpichai @GoogleAI @Googleorg @RatnRajiv We will be very happy to contribute for the same. 
The theme of our lab @midasIIITD is the same, AI for social good. 
Hope to work with @GoogleAI for the same."
213,Mon Oct 29 08:47:07 +0000 2018,9,1056829772444114945,,4,"Two @midasIIITD interns, @Leomi7 and Sahil Chopra, are attending EMNLP 2018 to present our papers. Best wishes to them for their first and the best NLP conference visit. 

#EMNLP #WASSA @SMM4H #AWL #WMT #NLP #Interns #Research"
214,Sun Oct 28 03:25:51 +0000 2018,1,1056386535950495744,,0,"Need Help Getting Started with Applied Machine Learning? All ML beginners should go through it first. 

https://t.co/ORpdNPubOw

Thanks, @Hitkul_ for sharing."
215,Sun Oct 28 02:48:34 +0000 2018,14,1056377151451099137,,4,"Two student papers got accepted at AAAI despite this year 70% more submissions and the number of accepted papers same than the last year.
1. Mind your Language: Abuse and Offense Detection for Code-Switched Languages 
2. Lipper: Speaker Independent Lipreading
Congrats @midasIIITD"
216,Wed Oct 24 11:41:59 +0000 2018,4,1055061838956621825,,0,"Another #ACMMM18 paper titled, ""Learning and Fusing Multimodal Deep Features for Acoustic Scene Categorization"", is online now at https://t.co/uVATECqxVT

#ACMMM18 #ACMMM #Multimedia #MIDAS"
217,Wed Oct 24 11:39:32 +0000 2018,1,1055061224717660166,,0,"Our paper on ""Harnessing AI for Speech Reconstruction using Multi-view Silent Video Feed"" is online now at https://t.co/dHex1leFw8

You may see the demo at https://t.co/SIpbFRhonq 

#ACMMM18 #ACMMM #Multimedia #MIDAS"
218,Mon Oct 22 03:54:29 +0000 2018,0,1054219413048696832,,2,"RT @debanjanbhucs: One of our papers on ""Detection of Personal Intake of Medicine from Twitter"" published in IEEE Intelligent Systems Journ…"
219,Wed Oct 17 09:07:33 +0000 2018,4,1052486262211383301,,0,"Training Neural Nets on Larger Batches: Practical Tips for 1-GPU, Multi-GPU &amp; Distributed setups  
https://t.co/nAELMYGCie"
220,Wed Oct 17 07:10:25 +0000 2018,0,1052456782570971136,,0,"@smnh_azadi @goodfellow_ian FYI, @the_dhumketu"
221,Wed Oct 17 07:09:47 +0000 2018,0,1052456623959142400,,45,RT @smnh_azadi: Apply this simple rejection sampling technique to get rid of the bad samples generated by your GAN model. https://t.co/Mcfi…
222,Wed Oct 17 07:08:59 +0000 2018,0,1052456423714680838,,0,@UniofOxford @turinginst Check @Leomi7 @punnibhai
223,Wed Oct 17 07:07:43 +0000 2018,0,1052456105379590144,,16,"RT @soujanyaporia: We are making available a large multimodal multiparty dataset, manually annotated for emotion and sentiment. With D. Haz…"
224,Tue Oct 16 17:45:30 +0000 2018,0,1052254219661701127,,0,"Thank you, Dr. Debanjan Mahata @debanjanbhucs https://t.co/vXGHxkd2T3"
225,Tue Oct 16 03:44:19 +0000 2018,0,1052042526914486272,,2,"RT @mr2amc: Dear Colleagues, 

3 more days to go.
@mr2amc  Deadline extended until Oct 18 Please consider submitting your research contribu…"
226,Mon Oct 15 11:09:59 +0000 2018,0,1051792295958179841,,2,"RT @AKASH_2907: My internship experience @midasIIITD during summer 2018.
“Content-based Video Relevance Prediction” https://t.co/rqovlLUSI7"
227,Mon Oct 15 11:09:53 +0000 2018,0,1051792269827657728,,0,"@AKASH_2907 @AKASH_2907, it was great having you at @midasIIITD. 
We hope it was a great learning experience for you. 
We wish your submitted paper will get accepted soon."
228,Sat Oct 13 13:50:07 +0000 2018,5,1051107821658484736,,2,"The demo of our MyLipper system which got accepted to the 20th IEEE International Symposium on Multimedia 2018 conference is as follows: https://t.co/SIpbFQZNvS. 

Thank you, @the_dhumketu , Rohit, and Salik for the great work. 

#Demo #MyLipper #ISM #MIDAS #IIITD #Multimedia"
229,Fri Oct 12 17:50:10 +0000 2018,5,1050805843984244737,,1,"Congratulations Yaman @the_dhumketu, Rohit, Salik, and Dr. Shah @RatnRajiv on getting their paper titled, ""MyLipper : A Personalized System for Speech Reconstruction using Multi-View Visual Feeds"", accepted to the 20th IEEE International Symposium on Multimedia (ISM) conference."
230,Fri Oct 12 03:48:01 +0000 2018,0,1050593910030880768,,2,"RT @mr2amc: Dear Colleagues,
@mr2amc Deadline extended until Oct 18, 2018.
Please consider submitting your research contribution to the 2nd…"
231,Fri Oct 12 03:37:46 +0000 2018,10,1050591330005475328,,3,"Congratulations Puneet Mathur @punnibhai , Meghna Ayyar @Leomi7, Dr. Rajiv Ratn Shah @RatnRajiv, and Dr. Shree Gopal Sharma on getting their paper (Harnessing AI for Kidney Glomeruli Classification) accepted to 20th IEEE International Symposium on Multimedia. 
#ISM #MIDAS #IIITD"
232,Wed Oct 10 17:56:45 +0000 2018,7,1050082725124702208,,1,"MTech and Ph.D. students of @IIITDelhi, if you are interested in pursuing 6 months research internship at National Institute of Informatics (NII), Japan then you may contact @midasIIITD founder Dr. @RatnRajiv for the same. 

Last date: 31 Oct

#research #internship #tokyo #japan"
233,Tue Oct 09 17:25:48 +0000 2018,13,1049712545219661824,1.0,3,"Thank you, @nvidia for your support. https://t.co/teGlvxhCKr"
234,Sat Oct 06 15:22:39 +0000 2018,0,1048594389692370944,,1,"RT @mr2amc: MR2AMC'18: Multimodal Representation, Retrieval, and Analysis of Multimedia Content in Social Media       
Deadline: October 7,…"
235,Sun Sep 30 07:22:30 +0000 2018,0,1046299228815781889,,575,"RT @OriolVinyalsML: Best GAN samples ever yet? Very impressive ICLR submission! BigGAN improves Inception Scores by &gt;100.

Paper: https://t…"
236,Sun Sep 30 07:20:56 +0000 2018,0,1046298834857545728,,47,"RT @radamihalcea: I compiled a list of top ten reasons to study Computer Science, and with the help of talented graphic designers, turned t…"
237,Fri Sep 28 21:36:34 +0000 2018,0,1045789389266268162,,1,"RT @RatnRajiv: Too many Turing awards, Field medals, Abel prizes, and Nevanlinna prizes in a frame. 😆
Thank you, @HLForum for providing a p…"
238,Fri Sep 28 21:17:16 +0000 2018,0,1045784530282565632,,1,"RT @RatnRajiv: Thank you, @HLForum for organizing a wonderful conference with laureate in computer science and mathematics. 
It could not b…"
239,Sat Sep 22 20:53:27 +0000 2018,4,1043604211244646401,,1,Congrats @midasIIITD student @Simcyy for getting selected to @Adobe Research for her summer internship in 2019.
240,Wed Sep 12 09:48:48 +0000 2018,0,1039813067800891392,,2,"RT @mr2amc: MR2AMC'18: Multimodal Representation, Retrieval, and Analysis of Multimedia Content in Social Media
   
  Deadline: October 7,…"
241,Mon Sep 10 17:46:41 +0000 2018,0,1039208552324186112,,2,"RT @mr2amc: Please submit your research papers on multimedia, social media, and multimodal computing to @mr2amc 2018. More details can be f…"
242,Mon Sep 10 05:37:01 +0000 2018,0,1039024927687360512,,3,RT @debanjanbhucs: Summarizing some recent developments in word embeddings #nlp https://t.co/XykpLifuop
243,Sun Sep 09 05:14:58 +0000 2018,0,1038656991961333762,,2,RT @debanjanbhucs: Excellent post for those working on word embeddings #NLP #MachineLearning  https://t.co/xENTzh7GrZ
244,Thu Sep 06 09:59:01 +0000 2018,1,1037641312076365824,,0,"@sharmadrishti @IIITDelhi @emnlp2018 Thank you, @sharmadrishti @midasIIITD @midasIIITD @RatnRajiv"
245,Thu Sep 06 05:08:53 +0000 2018,0,1037568295526756352,,4,"RT @IIITDelhi: Congratulations team @midasIIITD
for getting 4 papers accepted to @emnlp2018 workshops.  1) Offensive Tweets Classification,…"
246,Wed Sep 05 18:05:33 +0000 2018,0,1037401364471508992,,11,"RT @kdnuggets: Auto-Keras, or How You can Create a #DeepLearning Model in 4 Lines of Code #KDN https://t.co/A1FgKE0ZKA"
247,Wed Sep 05 17:14:12 +0000 2018,0,1037388440403292160,,1,RT @jain49: Big Change: Diabetes patients are looking for diabetes management systems.  Manufacturers of continuous glucose monitoring devi…
248,Tue Sep 04 18:22:18 +0000 2018,0,1037043189843091457,,688,RT @NipsConference: #NIPS2018 The main conference sold out in 11 minutes 38 seconds
249,Tue Sep 04 16:19:56 +0000 2018,5,1037012394856218624,,1,"Paper titled, ""Exploring and Learning Suicidal Ideation Connotations on Social Media with Deep Learning"", got accepted to WASSA at @emnlp2018 
Congratulations authors, Ramit Sawhney, Prachi Manchanda, @punnibhai, @RatnRajiv, Raj Singh for great work.
#MIDAS #EMNLP #WASSA #IIITD"
250,Tue Sep 04 16:16:37 +0000 2018,3,1037011562370719744,,1,"The fourth paper (and 3rd of @punnibhai) got accepted into @emnlp2018 workshops. Congratulations Team @midasIIITD 

#MIDAS #EMNLP #Achievment #Success #IIITD #WASSA"
251,Tue Sep 04 15:54:18 +0000 2018,0,1037005945711165440,,34,"RT @NAACLHLT: Calls for papers for #naacl2019 are up!
Research track: https://t.co/tvFJx6P3Zs"
252,Tue Sep 04 01:10:31 +0000 2018,0,1036783534411722754,,28,"RT @kdnuggets: Text Classification &amp; Embeddings Visualization Using LSTMs, CNNs, and Pre-trained Word Vectors https://t.co/ir0jssoMkh https…"
253,Mon Sep 03 13:14:52 +0000 2018,0,1036603432918953989,,3,"RT @mr2amc: @mr2amc challenge on ""Multimodal Sentiment Analysis Challenge"" is up now. You may visit the following link for more details:…"
254,Sat Sep 01 17:25:56 +0000 2018,0,1035941843417018368,,33,"RT @TheWebConf: Submitting to The Web Conference 2019 (WWW 2019) in San Francisco? Abstracts due Oct. 29, full papers Nov. 5! Full CFP: htt…"
255,Sat Sep 01 14:55:48 +0000 2018,0,1035904060291858434,1.0,25,RT @kdnuggets: First Steps of Learning Deep Learning: Image Classification in Keras https://t.co/eroBz5EhS8 https://t.co/5CN1eQHbTP
256,Sat Sep 01 03:09:52 +0000 2018,1,1035726405554688000,,0,"@debanjanbhucs @debanjanbhucs, thanks for sharing. 
@the_dhumketu this will be useful."
257,Sat Sep 01 03:07:55 +0000 2018,0,1035725912522645504,,9,"RT @DaveRubal: GREAT 9-page reference in basic #datascience. Here: https://t.co/g3EHvtd65h

Covers basic concepts in probability, #statisti…"
258,Fri Aug 31 17:50:25 +0000 2018,0,1035585615570460672,,21,RT @ylecun: Nice blog post about FAIR's work on unsupervised language translation. https://t.co/DfJWizDHeA
259,Fri Aug 31 05:28:31 +0000 2018,3,1035398909336506369,,3,"If you are holding Junior Research Fellowship (JRF) in computer science and looking for Ph.D. at the @midasIIITD lab, please contact us at https://t.co/pEMPKivWvO

#MIDAS #PhD #IIITD #MachineLearning #NLP #ComputerVision #Multimedia #Healthcare #AI #ProfShah"
260,Fri Aug 31 03:23:10 +0000 2018,0,1035367365091848192,,196,RT @goodfellow_ian: https://t.co/46MisEZT5n Deep learning for predicting aftershocks of large earthquakes. Besides offering better predicti…
261,Thu Aug 30 09:31:43 +0000 2018,0,1035097724193042433,,1,"@BloodDonorsIn Not everyone is aware of your handle and nor all can fill the form that you want people to fill. We, @midasIIITD, can automate the process using machine learning technologies to help in your mission to help society."
262,Thu Aug 30 09:28:48 +0000 2018,0,1035096992618356737,,0,"@BloodDonorsIn you may call us at 01126907495 or email us at midas@iiitd.ac.in to discuss opportunities to help you in your mission. 
@midasIIITD is a group of researchers in @IIITDelhi who use technology to help society. We can help by finding blood donors/seekers automatically."
263,Thu Aug 30 09:20:55 +0000 2018,0,1035095008024715265,,468,RT @ylecun: Many European country should dramatically increase their R&amp;D investments. https://t.co/27htpbr9P0
264,Thu Aug 30 04:32:16 +0000 2018,0,1035022365514596352,,2,RT @ponguru: Need Hindi-English Code-Mixed #POS Tagged data? Code: https://t.co/leACdMdOnG Data: https://t.co/qoj6p9tMQc from our recent #S…
265,Wed Aug 29 15:27:21 +0000 2018,0,1034824835220758530,1.0,5,RT @kdnuggets: NVIDIA Blog: Supervised Vs. Unsupervised Learning https://t.co/qLhByopdqT https://t.co/8aRgrEa3TX
266,Wed Aug 29 08:25:05 +0000 2018,0,1034718568481415168,,1,"RT @DheerajSanghi: Delhi government nods construction of Phase-2 of DTU, IIIT-D https://t.co/OfBtFs9R3g"
267,Tue Aug 28 17:27:03 +0000 2018,1,1034492572519940097,,0,@medialab @TechXplore_com an interesting problem to pursue @the_dhumketu @RatnRajiv @mr2amc
268,Tue Aug 28 17:24:55 +0000 2018,0,1034492035082809344,,1,RT @DheerajSanghi: Google data collection research via @DCNorg https://t.co/WOKPIhb5dK
269,Tue Aug 28 14:17:19 +0000 2018,0,1034444823317475330,,2,"RT @assert_pub: ""Ubiquitous Event Mining to Enhance Personal Health"" is the #1 paper on Arxiv today in human-computer interaction. Congrats…"
